"client","frequency","recency","monetary"
4847,1,218,8112.41996296
4846,3,18,7651.72999573
4845,2,85,7151.23998465
4844,54,1,6879.510020835
4843,8,62,5871.440008559
4842,52,6,5431.329880532
4841,9,57,4781.960008115
4840,1,23,4326.73015571
4839,2,116,4122.050007642
4838,1,188,3767.629956653
4837,1,18,3671.000061
4836,4,155,3661.769991328
4835,2,141,3542.98003578
4834,4,68,3483.95998588
4833,11,9,3149.66997432
4832,47,5,3017.999988929
4831,45,54,2795.370002333
4830,27,20,2582.949983318
4829,18,168,2518.249974923
4828,6,222,2431.760013856
4827,35,4,2342.229996703
4826,2,280,2223.059990808
4825,8,176,2196.330018527
4824,16,2,2113.620005697
4823,38,2,2108.270017053
4822,27,7,2047.100008681
4821,1,179,1920.67997163
4820,9,17,1880.179989932
4819,1,258,1856.1599732
4818,13,23,1850.43999815
4817,13,31,1828.12999992
4816,32,1,1820.369989231
4815,2,153,1806.40999226
4814,6,7,1793.569990612
4813,2,99,1791.20997621
4812,3,79,1784.77999677
4811,7,123,1775.62001604
4810,3,5,1766.03001404
4809,3,129,1752.92999374
4808,2,69,1736.11000631
4807,13,155,1723.159987463
4806,12,50,1706.059996643
4805,1,224,1705.45004665
4804,8,56,1704.660007466
4803,5,85,1701.74999232
4802,4,54,1673.429988876
4801,3,155,1670.7400017
4800,17,168,1663.549997574
4799,11,5,1653.83000566
4798,4,9,1652.33999245
4797,5,155,1644.519979498
4796,8,8,1630.04000078
4795,6,23,1603.29997927
4794,3,10,1586.61000366
4793,16,4,1576.109987737
4792,6,120,1570.009995885
4791,6,69,1526.519992874
4790,5,19,1526.409996954
4789,8,10,1516.23000908
4788,10,28,1510.599995359
4787,5,88,1497.4899864
4786,6,109,1494.939985158
4785,3,75,1486.31002044
4784,1,61,1458.21998788
4783,1,85,1440.29002196
4782,6,36,1431.180001435
4781,1,159,1430.17001537
4780,1,209,1428.59999461
4779,3,147,1426.7099972
4778,5,160,1422.730009
4777,8,12,1419.40998451
4776,2,40,1419.3999766
4775,1,114,1392.08999251
4774,8,1,1387.119984738
4773,1,219,1380.410006528
4772,3,115,1362.39000896
4771,4,77,1305.139988978
4770,16,15,1300.079996372
4769,1,159,1296.77999125
4768,1,190,1289.4899826
4767,3,152,1289.19000046
4766,4,19,1251.319990662
4765,1,213,1240.63999571
4764,9,34,1236.630005923
4763,5,38,1234.910001692
4762,8,7,1220.42998503
4761,14,3,1215.309994708
4760,22,66,1189.979994507
4759,1,87,1179.00999448
4758,11,9,1163.959994529
4757,2,48,1151.629980104
4756,4,98,1150.109976882
4755,10,50,1148.339995167
4754,11,63,1147.910003585
4753,18,70,1132.750003815
4752,7,7,1130.58999154
4751,3,62,1123.679993394
4750,2,66,1119.93003085
4749,7,123,1119.08000183
4748,17,25,1117.889999932
4747,1,80,1109.169992879
4746,2,332,1093.119989426
4745,3,18,1091.919993887
4744,5,51,1078.05999564
4743,2,120,1073.14999201
4742,7,61,1068.829998485
4741,6,120,1063.550002587
4740,4,62,1055.849998445
4739,7,19,1049.38000583
4738,2,16,1047.61000922
4737,4,90,1046.32999806
4736,1,158,1042.71999939
4735,3,46,1037.83999243
4734,4,113,1034.21999168
4733,8,12,1027.86998938
4732,2,241,1024.389996828
4731,4,24,1017.150003464
4730,10,11,1002.049998748
4729,5,77,994.28999341
4728,4,129,986.80999088
4727,6,183,979.519995686
4726,8,10,972.60000517
4725,2,292,971.0299703
4724,5,3,968.89999391
4723,23,12,962.000002626
4722,4,89,958.7499905
4721,1,183,946.92002197
4720,6,18,939.77999878
4719,2,158,935.349996586
4718,3,201,934.74000365
4717,2,142,926.23000526
4716,2,5,922.650000275
4715,2,187,922.58001517
4714,1,291,919.34999458
4713,4,4,915.09999846
